time,x,y,v,w,yaw
20.4,0.196471,-0.00716394,0.31203510774615967,0.0,-0.000831187
20.8,0.217925,-0.00718177,0.2957191021662521,0.0,-0.000831187
21.1,0.234812,-0.00719581,0.290910100461148,0.0,-0.000831187
21.5,0.255318,-0.00721285,0.27648609549939324,0.0,-0.000831187
21.8,0.269514,-0.00722465,0.26351309098064696,0.0,-0.000831187
22.2,0.287121,-0.00723928,0.24560608485482177,0.0,-0.000831187
22.5,0.299443,-0.00724952,0.23248808029223433,0.0,-0.000831187
22.9001,0.314797,-0.00726228,0.21583107450098307,0.0,-0.000831187
23.2001,0.325568,-0.00727123,0.20401207045217987,0.0,-0.000831187
23.6001,0.339007,-0.00728241,0.1892300653422958,0.0,-0.000831187
24.0001,0.351465,-0.00729276,0.1753180605619191,0.0,-0.000831187
24.3001,0.36021,-0.00730003,0.16578505727029683,0.0,-0.000831187
24.7001,0.369772,-0.00730798,0.14578005035145436,0.0,-0.000831187
25.0001,0.377775,-0.00731463,0.14166404893227155,0.0,-0.000831187
25.4001,0.386384,-0.00732178,0.12627204361834024,0.0,-0.000831187
25.7001,0.393503,-0.0073277,0.1237090427490583,0.0,-0.000831187
26.1001,0.40217,-0.0073349,0.11727704048282891,0.0,-0.000831187
26.4001,0.406302,-0.00733834,0.10165703514808307,0.0,-0.000831187
26.8001,0.414304,-0.00734499,0.10078003483262271,0.0,-0.000831187
27.2001,0.421453,-0.00735093,0.09599353317875893,0.0,-0.000831187
27.5001,0.426396,-0.00735504,0.09154773161275588,0.0,-0.000831187
27.9001,0.432525,-0.00736014,0.08539802951798019,0.0,-0.000831187
28.2001,0.436097,-0.00736311,0.07665032647781768,0.0,-0.000831187
28.6001,0.441093,-0.00736726,0.07101042456336143,0.0,-0.000831187
28.9001,0.443807,-0.00736952,0.06265882165783065,0.0,-0.000831187
29.3001,0.448403,-0.00737334,0.06040912088321591,0.0,-0.000831187
29.7001,0.452576,-0.00737681,0.05645171950749104,0.0,-0.000831187
30.0001,0.455449,-0.0073792,0.05359461853683124,0.0,-0.000831187
30.4001,0.459659,-0.0073827,0.05308841833640274,0.0,-0.000831187
30.7001,0.462039,-0.00738468,0.048488416757173504,0.0,-0.000831187
31.1001,0.465696,-0.00738771,0.04727621630500268,0.0,-0.000831187
31.4001,0.467413,-0.00738914,0.04123071424678331,0.0,-0.000831187
31.8001,0.470346,-0.00739158,0.039298113585888576,0.0,-0.000831187
32.1001,0.472347,-0.00739324,0.03757741299808668,0.0,-0.000831187
32.5001,0.47492,-0.00739538,0.035182412158621244,0.0,-0.000831187
32.8001,0.476648,-0.00739682,0.03320331147871252,0.0,-0.000831187
33.2001,0.478636,-0.00739847,0.029766510280315378,0.0,-0.000831187
33.5001,0.480234,-0.0073998,0.02870040988906178,0.0,-0.000831187
33.9001,0.482017,-0.00740128,0.025883408938273806,0.0,-0.000831187
34.2001,0.483429,-0.00740245,0.024952208633483682,0.0,-0.000831187
34.6,0.48531,-0.00740402,0.024389308413414825,0.0,-0.000831187
35.0,0.486804,-0.00740526,0.022237307663738243,0.0,-0.000831187
35.3,0.487973,-0.00740623,0.021394207386184274,0.0,-0.000831187
35.7,0.489302,-0.00740733,0.01940560673644337,0.0,-0.000831187
36.0,0.490365,-0.00740822,0.018831606504045046,0.0,-0.000831187
36.4,0.491546,-0.0074092,0.017042605883644965,0.0,-0.000831187
36.7,0.492667,-0.00741013,0.01755160607470917,0.0,-0.000831187
37.1,0.493859,-0.00741112,0.01649880573133263,0.0,-0.000831187
37.4,0.49466,-0.00741179,0.015618705408682348,0.0,-0.000831187
37.8,0.495833,-0.00741277,0.015205605251232074,0.0,-0.000831187
38.1,0.496525,-0.00741334,0.014092904874815385,0.0,-0.000831187
38.5,0.497544,-0.00741419,0.013519704668943358,0.0,-0.000831187
